order_id,product_id,unit_price,quantity,discount,_sdc_source_file,_sdc_source_file_mtime,_sdc_source_lineno
10248,11,14,12,0,data/order_details.csv,2023-04-26 11:34:21.629178+00:00,1
10248,42,9.8,10,0,data/order_details.csv,2023-04-26 11:34:21.629178+00:00,2
10248,72,34.8,5,0,data/order_details.csv,2023-04-26 11:34:21.629178+00:00,3
10249,14,18.6,9,0,data/order_details.csv,2023-04-26 11:34:21.629178+00:00,4
10249,51,42.4,40,0,data/order_details.csv,2023-04-26 11:34:21.629178+00:00,5
10250,41,7.7,10,0,data/order_details.csv,2023-04-26 11:34:21.629178+00:00,6
10250,51,42.4,35,0.15,data/order_details.csv,2023-04-26 11:34:21.629178+00:00,7
10250,65,16.8,15,0.15,data/order_details.csv,2023-04-26 11:34:21.629178+00:00,8
10251,22,16.8,6,0.05,data/order_details.csv,2023-04-26 11:34:21.629178+00:00,9
10251,57,15.6,15,0.05,data/order_details.csv,2023-04-26 11:34:21.629178+00:00,10
10251,65,16.8,20,0,data/order_details.csv,2023-04-26 11:34:21.629178+00:00,11
10252,20,64.8,40,0.05,data/order_details.csv,2023-04-26 11:34:21.629178+00:00,12
10252,33,2,25,0.05,data/order_details.csv,2023-04-26 11:34:21.629178+00:00,13
10252,60,27.2,40,0,data/order_details.csv,2023-04-26 11:34:21.629178+00:00,14
10253,31,10,20,0,data/order_details.csv,2023-04-26 11:34:21.629178+00:00,15
10253,39,14.4,42,0,data/order_details.csv,2023-04-26 11:34:21.629178+00:00,16
10253,49,16,40,0,data/order_details.csv,2023-04-26 11:34:21.629178+00:00,17
10254,24,3.6,15,0.15,data/order_details.csv,2023-04-26 11:34:21.629178+00:00,18
10254,55,19.2,21,0.15,data/order_details.csv,2023-04-26 11:34:21.629178+00:00,19
10254,74,8,21,0,data/order_details.csv,2023-04-26 11:34:21.629178+00:00,20
10255,2,15.2,20,0,data/order_details.csv,2023-04-26 11:34:21.629178+00:00,21
10255,16,13.9,35,0,data/order_details.csv,2023-04-26 11:34:21.629178+00:00,22
10255,36,15.2,25,0,data/order_details.csv,2023-04-26 11:34:21.629178+00:00,23
10255,59,44,30,0,data/order_details.csv,2023-04-26 11:34:21.629178+00:00,24
10256,53,26.2,15,0,data/order_details.csv,2023-04-26 11:34:21.629178+00:00,25
10256,77,10.4,12,0,data/order_details.csv,2023-04-26 11:34:21.629178+00:00,26
10257,27,35.1,25,0,data/order_details.csv,2023-04-26 11:34:21.629178+00:00,27
