_sdc_source_file,_sdc_source_file_mtime,_sdc_source_lineno,customer_id,employee_id,freight,order_date,order_id,required_date,ship_address,ship_city,ship_country,ship_name,ship_postal_code,ship_region,ship_via,shipped_date,updated_at,_sdc_source_file,_sdc_source_file_mtime,_sdc_source_lineno,discount,order_id,product_id,quantity,unit_price
output/postgres-2023-04-21-public-orders.csv,2023-04-21 03:06:24.702545,1,VINET,5,32.38,1996-07-04 00:00:00+00:00,10248,1996-08-01 00:00:00+00:00,59 rue de l'Abbaye,Reims,France,Vins et alcools Chevalier,51100,,3,1996-07-16 00:00:00+00:00,2023-04-20 22:12:08.881781+00:00,data/order_details.csv,2023-04-20 20:00:09.436177,1,0,10248,11,12,14
output/postgres-2023-04-21-public-orders.csv,2023-04-21 03:06:24.702545,1,VINET,5,32.38,1996-07-04 00:00:00+00:00,10248,1996-08-01 00:00:00+00:00,59 rue de l'Abbaye,Reims,France,Vins et alcools Chevalier,51100,,3,1996-07-16 00:00:00+00:00,2023-04-20 22:12:08.881781+00:00,data/order_details.csv,2023-04-20 20:00:09.436177,2,0,10248,42,10,9.8
output/postgres-2023-04-21-public-orders.csv,2023-04-21 03:06:24.702545,1,VINET,5,32.38,1996-07-04 00:00:00+00:00,10248,1996-08-01 00:00:00+00:00,59 rue de l'Abbaye,Reims,France,Vins et alcools Chevalier,51100,,3,1996-07-16 00:00:00+00:00,2023-04-20 22:12:08.881781+00:00,data/order_details.csv,2023-04-20 20:00:09.436177,3,0,10248,72,5,34.8
output/postgres-2023-04-21-public-orders.csv,2023-04-21 03:06:24.702545,2,TOMSP,6,11.61,1996-07-05 00:00:00+00:00,10249,1996-08-16 00:00:00+00:00,Luisenstr. 48,Münster,Germany,Toms Spezialitäten,44087,,1,1996-07-10 00:00:00+00:00,2023-04-20 22:12:08.881781+00:00,data/order_details.csv,2023-04-20 20:00:09.436177,4,0,10249,14,9,18.6
output/postgres-2023-04-21-public-orders.csv,2023-04-21 03:06:24.702545,2,TOMSP,6,11.61,1996-07-05 00:00:00+00:00,10249,1996-08-16 00:00:00+00:00,Luisenstr. 48,Münster,Germany,Toms Spezialitäten,44087,,1,1996-07-10 00:00:00+00:00,2023-04-20 22:12:08.881781+00:00,data/order_details.csv,2023-04-20 20:00:09.436177,5,0,10249,51,40,42.4
output/postgres-2023-04-21-public-orders.csv,2023-04-21 03:06:24.702545,3,HANAR,4,65.83,1996-07-08 00:00:00+00:00,10250,1996-08-05 00:00:00+00:00,"Rua do Paço, 67",Rio de Janeiro,Brazil,Hanari Carnes,05454-876,RJ,2,1996-07-12 00:00:00+00:00,2023-04-20 22:12:08.881781+00:00,data/order_details.csv,2023-04-20 20:00:09.436177,6,0,10250,41,10,7.7
output/postgres-2023-04-21-public-orders.csv,2023-04-21 03:06:24.702545,3,HANAR,4,65.83,1996-07-08 00:00:00+00:00,10250,1996-08-05 00:00:00+00:00,"Rua do Paço, 67",Rio de Janeiro,Brazil,Hanari Carnes,05454-876,RJ,2,1996-07-12 00:00:00+00:00,2023-04-20 22:12:08.881781+00:00,data/order_details.csv,2023-04-20 20:00:09.436177,7,0.15,10250,51,35,42.4
output/postgres-2023-04-21-public-orders.csv,2023-04-21 03:06:24.702545,3,HANAR,4,65.83,1996-07-08 00:00:00+00:00,10250,1996-08-05 00:00:00+00:00,"Rua do Paço, 67",Rio de Janeiro,Brazil,Hanari Carnes,05454-876,RJ,2,1996-07-12 00:00:00+00:00,2023-04-20 22:12:08.881781+00:00,data/order_details.csv,2023-04-20 20:00:09.436177,8,0.15,10250,65,15,16.8
output/postgres-2023-04-21-public-orders.csv,2023-04-21 03:06:24.702545,4,VICTE,3,41.34,1996-07-08 00:00:00+00:00,10251,1996-08-05 00:00:00+00:00,"2, rue du Commerce",Lyon,France,Victuailles en stock,69004,,1,1996-07-15 00:00:00+00:00,2023-04-20 22:12:08.881781+00:00,data/order_details.csv,2023-04-20 20:00:09.436177,9,0.05,10251,22,6,16.8
output/postgres-2023-04-21-public-orders.csv,2023-04-21 03:06:24.702545,4,VICTE,3,41.34,1996-07-08 00:00:00+00:00,10251,1996-08-05 00:00:00+00:00,"2, rue du Commerce",Lyon,France,Victuailles en stock,69004,,1,1996-07-15 00:00:00+00:00,2023-04-20 22:12:08.881781+00:00,data/order_details.csv,2023-04-20 20:00:09.436177,10,0.05,10251,57,15,15.6
